! Solar data file for CrIS hiRes 080808 SARTA fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
 259  811.250   24.117
 260  811.875   24.155
 261  812.500   24.193
 262  813.125   24.230
 263  813.750   24.269
 264  814.375   24.306
 265  815.000   24.345
 266  815.625   24.383
 267  816.250   24.420
 268  816.875   24.459
 269  817.500   24.497
 270  818.125   24.535
 271  818.750   24.573
 272  819.375   24.611
 273  820.000   24.649
 274  820.625   24.688
 275  821.250   24.726
 276  821.875   24.764
 277  822.500   24.802
 278  823.125   24.840
 279  823.750   24.879
 280  824.375   24.917
 281  825.000   24.955
 282  825.625   24.994
 283  826.250   25.032
 284  826.875   25.070
 285  827.500   25.109
 286  828.125   25.148
 287  828.750   25.186
 288  829.375   25.224
 289  830.000   25.263
 290  830.625   25.302
 291  831.250   25.340
 292  831.875   25.378
 293  832.500   25.417
 294  833.125   25.456
 295  833.750   25.494
 296  834.375   25.532
 297  835.000   25.571
 298  835.625   25.610
 299  836.250   25.648
 300  836.875   25.687
 301  837.500   25.725
 302  838.125   25.764
 303  838.750   25.803
 304  839.375   25.841
 305  840.000   25.880
 306  840.625   25.919
 307  841.250   25.957
 308  841.875   25.996
 309  842.500   26.035
 310  843.125   26.073
 311  843.750   26.112
 312  844.375   26.151
 313  845.000   26.190
 314  845.625   26.229
 315  846.250   26.268
 316  846.875   26.306
 317  847.500   26.346
 318  848.125   26.384
 319  848.750   26.423
 320  849.375   26.462
 321  850.000   26.501
 322  850.625   26.540
 323  851.250   26.579
 324  851.875   26.618
 325  852.500   26.657
 326  853.125   26.697
 327  853.750   26.735
 328  854.375   26.774
 329  855.000   26.814
 330  855.625   26.852
 331  856.250   26.892
 332  856.875   26.931
 333  857.500   26.970
 334  858.125   27.009
 335  858.750   27.049
 336  859.375   27.088
 337  860.000   27.127
 338  860.625   27.167
 339  861.250   27.206
 340  861.875   27.245
 341  862.500   27.285
 342  863.125   27.325
 343  863.750   27.364
 344  864.375   27.403
 345  865.000   27.443
 346  865.625   27.483
 347  866.250   27.522
 348  866.875   27.562
 349  867.500   27.601
 350  868.125   27.641
 351  868.750   27.680
 352  869.375   27.720
 353  870.000   27.760
 354  870.625   27.800
 355  871.250   27.840
 356  871.875   27.879
 357  872.500   27.919
 358  873.125   27.959
 359  873.750   27.999
 360  874.375   28.039
 361  875.000   28.079
 362  875.625   28.119
 363  876.250   28.159
 364  876.875   28.199
 365  877.500   28.239
 366  878.125   28.279
 367  878.750   28.320
 368  879.375   28.360
 369  880.000   28.400
 370  880.625   28.440
 371  881.250   28.481
 372  881.875   28.521
 373  882.500   28.562
 374  883.125   28.602
 375  883.750   28.642
 376  884.375   28.683
 377  885.000   28.724
 378  885.625   28.764
 379  886.250   28.805
 380  886.875   28.846
 381  887.500   28.886
 382  888.125   28.927
 383  888.750   28.967
 384  889.375   29.008
 385  890.000   29.049
 386  890.625   29.090
 387  891.250   29.131
 388  891.875   29.172
 389  892.500   29.213
 390  893.125   29.254
 391  893.750   29.295
 392  894.375   29.336
 393  895.000   29.377
 394  895.625   29.419
 395  896.250   29.460
 396  896.875   29.501
 397  897.500   29.543
 398  898.125   29.584
 399  898.750   29.625
 400  899.375   29.666
 401  900.000   29.708
 402  900.625   29.750
 403  901.250   29.791
 404  901.875   29.833
 405  902.500   29.875
 406  903.125   29.916
 407  903.750   29.958
 408  904.375   30.001
 409  905.000   30.042
 410  905.625   30.084
 411  906.250   30.126
 412  906.875   30.167
 413  907.500   30.210
 414  908.125   30.252
 415  908.750   30.294
 416  909.375   30.337
 417  910.000   30.379
 418  910.625   30.421
 419  911.250   30.463
 420  911.875   30.505
 421  912.500   30.548
 422  913.125   30.590
 423  913.750   30.633
 424  914.375   30.675
 425  915.000   30.718
 426  915.625   30.761
 427  916.250   30.804
 428  916.875   30.846
 429  917.500   30.890
 430  918.125   30.932
 431  918.750   30.975
 432  919.375   31.018
 433  920.000   31.061
 434  920.625   31.105
 435  921.250   31.147
 436  921.875   31.191
 437  922.500   31.234
 438  923.125   31.276
 439  923.750   31.320
 440  924.375   31.364
 441  925.000   31.407
 442  925.625   31.450
 443  926.250   31.494
 444  926.875   31.537
 445  927.500   31.581
 446  928.125   31.624
 447  928.750   31.668
 448  929.375   31.712
 449  930.000   31.755
 450  930.625   31.798
 451  931.250   31.842
 452  931.875   31.886
 453  932.500   31.930
 454  933.125   31.974
 455  933.750   32.018
 456  934.375   32.062
 457  935.000   32.106
 458  935.625   32.150
 459  936.250   32.194
 460  936.875   32.238
 461  937.500   32.282
 462  938.125   32.326
